>>>> BitMoD,,,,,,,,,
Notes:,,,,,,,,,
- activation := f16,,,,,,,,,
- architecture: 8x8 PEs per tile (1 tile column = 8 PEs); 4x4 tiles in array,,,,,,,,,
"- energy includes dequantization (per reduction group of n elements along the reduction dimension, the user supplies a u8 scaling factor ""k"" to multiply the group-accumulation S = mac_1 + mac_2 + ... + mac_n -> kS)",,,,,,,,,
"- ""total"" row figures sum: controller + skew + tile array (no tile column or tile full; they are intermedates to tile array)",,,,,,,,,
- experimental setup: power results are from post-PNR gate-level simulation with SDF back-annotation; testbench provides uniform-random stimulus with no bubbles,,,,,,,,,
,,,,,,,,,
clock frequency (Hz),total term frequency (Hz),,,,,,,,
400000000.000,1638400000000.000,,,,,,,,
,area (um^2),area (mm^2),area fraction,power i8 (W),power i6 (W),power f4 (W),power fraction i8,run identifier,
controller,8840.580,0.009,0.008,0.002,0.002,0.003,0.005,controller_jul28_2109_dyn_multibit_infer_notset,
skew,6131.566,0.006,0.005,0.002,0.002,0.003,0.004,skew_jul28_1535_multibit_infer_notset,
tile column (8 PEs),,0.000,0.000,,,,0.000,N/A,
tile full (8x8 PE),69683.586,0.070,0.062,0.02884154,0.02993578,0.02996878,0.062,tile_pe_scratch_jul28_1603_full_multibit_infer_set,
tile array,1114937.376,1.115,0.987,0.46146464,0.47897248,0.47950048,0.991,,
total,1129909.522,1.130,,0.466,0.484,0.485,,,
,,,,,,,,,
MAC type,i8 x f16,i6 x f16,f4 x f16,,,,,,
throughput (Hz),409600000000.000,546133333333.333,819200000000.000,,,,,,
energy (pJ / MAC),1.137,0.886,0.592,,,,,,
area efficiency (GMAC/(s*mm^2)),362.507,483.343,725.014,,,,,,
,,,,,,,,,
>>>> Simple NO dequant (integer only; i8 activations; radix-4 Booth encoding),,,,,,,,,
,area (um^2),area (mm^2),area fraction,power i8 (W),power i6 (W),power i4 (W),power i2 (W),power fraction i8,run identifier
controller,3570.826,0.004,0.010,0.001,0.002,0.002,0.002197194,0.007,controller_simple_jul39_0601
skew,3787.602,0.004,0.011,0.001,0.001,0.002,0.002780324,0.007,skew_simple_jul30_0601
tile column (8 PEs),,0.000,0.000,,,,,0.000,N/A
tile full (8x8 PE),21906.234,0.022,0.061,0.01216832,0.01263061,0.01310101,0.01420055,0.062,tile_simple_jul30_0252_full_merged_s1
tile array,350499.744,0.350,0.979,0.19469312,0.20208976,0.20961616,0.2272088,0.986,
total,357858.172,0.358,,0.197,0.205,0.213,0.232,,
,,,,0.012,,,,,
MAC type,i8 x i8,i6 x i8,i4 x i8,i2 x i8,,,,,
throughput (Hz),409600000000.000,546133333333.333,819200000000.000,1638400000000.000,,,,,
energy (pJ / MAC),0.482,0.376,0.260,0.142,,,,,
area efficiency (GMAC/(s*mm^2)),1144.588,1526.117,2289.175,4578.350,,,,,
power scaling ratio relative to i8xi8,1,1.039020736,1.080244601,1.176121451,,,,,
,,,,,,,,,
More details: single-stage PE; 32 group tb,,,,,,,,,
